#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A42005
#Date Time: 2018-03-08 09:48:49.819
#Sample rate: 487805Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 100 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V

Time (s),Channel 1 (V)
-0.012808855555555556,-0.010841849593438551
-0.012806805555555556,-0.010506061217021436
-0.012804755555555556,-0.011177637969855667
-0.012802705555555556,-0.010170272840604322
-0.012800655555555556,-0.010506061217021436
-0.012798605555555556,-0.010506061217021436
-0.012796555555555556,-0.011513426346272781
-0.012794505555555556,-0.010841849593438551
-0.012792455555555556,-0.012520791475524129
-0.012790405555555556,-0.011177637969855667
-0.012788355555555556,-0.011177637969855667
-0.012786305555555556,-0.011177637969855667
-0.012784255555555556,-0.010170272840604322
-0.012782205555555554,-0.0088271193349370811
-0.012780155555555554,-0.011513426346272781
-0.012778105555555554,-0.011513426346272476
-0.012776055555555554,-0.010841849593438398
-0.012774005555555554,-0.010506061217021589
-0.012771955555555554,-0.010841849593438398
-0.012769905555555554,-0.010506061217021894
-0.012767855555555555,-0.011513426346272781
-0.012765805555555555,-0.011513426346272171
-0.012763755555555555,-0.010170272840604627
-0.012761705555555555,-0.010841849593438551
-0.012759655555555555,-0.010841849593438703
-0.012757605555555555,-0.011177637969854904
-0.012755555555555555,-0.0094986960877705487
-0.012753505555555555,-0.010506061217021589
